2459543.500000000, A.D. 2021-Nov-25 00:00:00.0000,  6.656863496064430E+07,  1.206118536943868E+08,  5.249356856679788E+07,
2459543.541666667, A.D. 2021-Nov-25 01:00:00.0000,  6.646847079911071E+07,  1.206473729342735E+08,  5.251852275930411E+07,
2459543.583333333, A.D. 2021-Nov-25 02:00:00.0000,  6.636829936596515E+07,  1.206829003159412E+08,  5.254341349467019E+07,
2459543.625000000, A.D. 2021-Nov-25 03:00:00.0000,  6.626811804842183E+07,  1.207184296073433E+08,  5.256824349631931E+07,
2459543.666666667, A.D. 2021-Nov-25 04:00:00.0000,  6.616792459474974E+07,  1.207539553736878E+08,  5.259301516738970E+07,
2459543.708333333, A.D. 2021-Nov-25 05:00:00.0000,  6.606771705055927E+07,  1.207894728428960E+08,  5.261773064013211E+07,
2459543.750000000, A.D. 2021-Nov-25 06:00:00.0000,  6.596749370893531E+07,  1.208249777989222E+08,  5.264239181579474E+07,
2459543.791666667, A.D. 2021-Nov-25 07:00:00.0000,  6.586725307069983E+07,  1.208604664965298E+08,  5.266700039722145E+07,
2459543.833333333, A.D. 2021-Nov-25 08:00:00.0000,  6.576699381212366E+07,  1.208959355910077E+08,  5.269155791625656E+07,
2459543.875000000, A.D. 2021-Nov-25 09:00:00.0000,  6.566671475885879E+07,  1.209313820808646E+08,  5.271606575643416E+07,
2459543.916666667, A.D. 2021-Nov-25 10:00:00.0000,  6.556641486498173E+07,  1.209668032618238E+08,  5.274052517127050E+07,
2459543.958333333, A.D. 2021-Nov-25 11:00:00.0000,  6.546609319511218E+07,  1.210021966870679E+08,  5.276493730060062E+07,
2459544.000000000, A.D. 2021-Nov-25 12:00:00.0000,  6.536574890989632E+07,  1.210375601346243E+08,  5.278930318393323E+07,
2459544.041666667, A.D. 2021-Nov-25 13:00:00.0000,  6.526538125365814E+07,  1.210728915797567E+08,  5.281362377201941E+07,
2459544.083333333, A.D. 2021-Nov-25 14:00:00.0000,  6.516498954408316E+07,  1.211081891714469E+08,  5.283789993675529E+07,
2459544.125000000, A.D. 2021-Nov-25 15:00:00.0000,  6.506457316337822E+07,  1.211434512121143E+08,  5.286213247978760E+07,
2459544.166666667, A.D. 2021-Nov-25 16:00:00.0000,  6.496413155081084E+07,  1.211786761408076E+08,  5.288632213982828E+07,
2459544.208333333, A.D. 2021-Nov-25 17:00:00.0000,  6.486366419627803E+07,  1.212138625182702E+08,  5.291046959909941E+07,
2459544.250000000, A.D. 2021-Nov-25 18:00:00.0000,  6.476317063478591E+07,  1.212490090140541E+08,  5.293457548896530E+07,
2459544.291666667, A.D. 2021-Nov-25 19:00:00.0000,  6.466265044159822E+07,  1.212841143953337E+08,  5.295864039491889E+07,
2459544.333333333, A.D. 2021-Nov-25 20:00:00.0000,  6.456210322816762E+07,  1.213191775174010E+08,  5.298266486076996E+07,
2459544.375000000, A.D. 2021-Nov-25 21:00:00.0000,  6.446152863840903E+07,  1.213541973148734E+08,  5.300664939261599E+07,
2459544.416666667, A.D. 2021-Nov-25 22:00:00.0000,  6.436092634544411E+07,  1.213891727939808E+08,  5.303059446234761E+07,
2459544.458333333, A.D. 2021-Nov-25 23:00:00.0000,  6.426029604902679E+07,  1.214241030265042E+08,  5.305450051034601E+07,
2459544.500000000, A.D. 2021-Nov-26 00:00:00.0000,  6.415963747295289E+07,  1.214589871436470E+08,  5.307836794831546E+07,
2459544.541666667, A.D. 2021-Nov-26 01:00:00.0000,  6.405895036289010E+07,  1.214938243307950E+08,  5.310219716168693E+07,
2459544.583333333, A.D. 2021-Nov-26 02:00:00.0000,  6.395823448442876E+07,  1.215286138228704E+08,  5.312598851177147E+07,
2459544.625000000, A.D. 2021-Nov-26 03:00:00.0000,  6.385748962135536E+07,  1.215633549001787E+08,  5.314974233769254E+07,
2459544.666666667, A.D. 2021-Nov-26 04:00:00.0000,  6.375671557410128E+07,  1.215980468846900E+08,  5.317345895812825E+07,
2459544.708333333, A.D. 2021-Nov-26 05:00:00.0000,  6.365591215838634E+07,  1.216326891366888E+08,  5.319713867287677E+07,
2459544.750000000, A.D. 2021-Nov-26 06:00:00.0000,  6.355507920396121E+07,  1.216672810517726E+08,  5.322078176428100E+07,
2459544.791666667, A.D. 2021-Nov-26 07:00:00.0000,  6.345421655350020E+07,  1.217018220581341E+08,  5.324438849851511E+07,
2459544.833333333, A.D. 2021-Nov-26 08:00:00.0000,  6.335332406159408E+07,  1.217363116141064E+08,  5.326795912675483E+07,
2459544.875000000, A.D. 2021-Nov-26 09:00:00.0000,  6.325240159384627E+07,  1.217707492059371E+08,  5.329149388624103E+07,
2459544.916666667, A.D. 2021-Nov-26 10:00:00.0000,  6.315144902605145E+07,  1.218051343457672E+08,  5.331499300125023E+07,
2459544.958333333, A.D. 2021-Nov-26 11:00:00.0000,  6.305046624344698E+07,  1.218394665697938E+08,  5.333845668398170E+07,
2459545.000000000, A.D. 2021-Nov-26 12:00:00.0000,  6.294945314004209E+07,  1.218737454365915E+08,  5.336188513536695E+07,
2459545.041666667, A.D. 2021-Nov-26 13:00:00.0000,  6.284840961798748E+07,  1.219079705255865E+08,  5.338527854581603E+07,
2459545.083333333, A.D. 2021-Nov-26 14:00:00.0000,  6.274733558702580E+07,  1.219421414356521E+08,  5.340863709589665E+07,
2459545.125000000, A.D. 2021-Nov-26 15:00:00.0000,  6.264623096397033E+07,  1.219762577838281E+08,  5.343196095696298E+07,
2459545.166666667, A.D. 2021-Nov-26 16:00:00.0000,  6.254509567224070E+07,  1.220103192041408E+08,  5.345525029173142E+07,
